MIDI Note,Key Highlight Time,Key Press Time,Reaction Time (Seconds),Accuracy,Timestamp
38,5.35981,8.069554,2.709744,Incorrect,2025-03-18 18:31:49
40,5.35981,8.319471,2.959661,Incorrect,2025-03-18 18:31:49
40,5.35981,8.597483,3.237672,Incorrect,2025-03-18 18:31:50
41,5.35981,8.61137,3.25156,Incorrect,2025-03-18 18:31:50
41,5.35981,8.903196,3.543386,Incorrect,2025-03-18 18:31:50
40,5.35981,9.180962,3.821151,Incorrect,2025-03-18 18:31:50
38,5.35981,9.986724,4.626914,Incorrect,2025-03-18 18:31:51
36,10.34808,10.34808,4.988267,Correct,2025-03-18 18:31:51
37,11.05663,11.05663,0.7085533,Correct,2025-03-18 18:31:52
36,11.05663,11.93188,0.875247,Incorrect,2025-03-18 18:31:53
40,11.05663,12.81981,1.763181,Incorrect,2025-03-18 18:31:54
38,13.54176,13.54176,2.485126,Correct,2025-03-18 18:31:55
37,13.54176,17.47273,3.930976,Incorrect,2025-03-18 18:31:59
39,17.86194,17.86194,4.320182,Correct,2025-03-18 18:31:59
36,17.79493,17.79493,9.514273,Correct,2025-03-18 19:22:03
37,19.10077,19.10077,1.305845,Correct,2025-03-18 19:22:04
38,20.39194,20.39194,1.291164,Correct,2025-03-18 19:22:05
39,21.60023,21.60023,1.208298,Correct,2025-03-18 19:22:06
40,22.53018,22.53018,0.929945,Correct,2025-03-18 19:22:07
39,22.53018,23.65553,1.125353,Incorrect,2025-03-18 19:22:09
40,22.53018,24.97494,2.444763,Incorrect,2025-03-18 19:22:10
41,25.61386,25.61386,3.083679,Correct,2025-03-18 19:22:10
39,25.61386,26.50288,0.8890228,Incorrect,2025-03-18 19:22:11
42,27.05858,27.05858,1.444719,Correct,2025-03-18 19:22:12
43,28.01771,28.01771,0.9591351,Correct,2025-03-18 19:22:13
42,28.01771,28.8915,0.8737888,Incorrect,2025-03-18 19:22:14
44,29.30833,29.30833,1.290613,Correct,2025-03-18 19:22:14
45,30.14181,30.14181,0.8334846,Correct,2025-03-18 19:22:15
46,31.25317,31.25317,1.111362,Correct,2025-03-18 19:22:16
47,32.1558,32.1558,0.9026299,Correct,2025-03-18 19:22:17
46,32.1558,33.01638,0.8605766,Incorrect,2025-03-18 19:22:18
47,32.1558,33.59972,1.443913,Incorrect,2025-03-18 19:22:18
48,33.93299,33.93299,1.777187,Correct,2025-03-18 19:22:19
46,33.93299,34.69702,0.7640305,Incorrect,2025-03-18 19:22:20
44,33.93299,35.04426,1.111267,Incorrect,2025-03-18 19:22:20
49,35.75257,35.75257,1.81958,Correct,2025-03-18 19:22:21
50,36.58574,36.58574,0.8331642,Correct,2025-03-18 19:22:21
49,36.58574,37.25206,0.6663284,Incorrect,2025-03-18 19:22:22
51,37.84923,37.84923,1.263493,Correct,2025-03-18 19:22:23
39,13.54078,21.38682,7.846037,Incorrect,2025-03-18 19:37:28
42,13.54078,21.78941,8.248623,Incorrect,2025-03-18 19:37:28
44,22.33083,22.33083,8.790043,Correct,2025-03-18 19:37:28
43,22.33083,23.6366,1.305773,Incorrect,2025-03-18 19:37:30
45,23.88669,23.88669,1.555859,Correct,2025-03-18 19:37:30
44,23.88669,25.6093,1.722614,Incorrect,2025-03-18 19:37:32
46,26.12344,26.12344,2.236755,Correct,2025-03-18 19:37:32
43,26.12344,30.04073,3.917284,Incorrect,2025-03-18 19:37:36
41,26.12344,31.05367,4.930227,Incorrect,2025-03-18 19:37:37
45,26.12344,33.24842,7.124983,Incorrect,2025-03-18 19:37:39
47,34.63753,34.63753,8.51409,Correct,2025-03-18 19:37:41
47,34.63753,35.99859,1.361057,Incorrect,2025-03-18 19:37:42
48,36.22218,36.22218,1.584648,Correct,2025-03-18 19:37:42
46,36.22218,36.92876,0.7065811,Incorrect,2025-03-18 19:37:43
49,37.48427,37.48427,1.262089,Correct,2025-03-18 19:37:44
52,37.48427,39.48363,1.999363,Incorrect,2025-03-18 19:37:46
50,39.9282,39.9282,2.443928,Correct,2025-03-18 19:37:46
51,41.17857,41.17857,1.250378,Correct,2025-03-18 19:37:47
48,41.17857,43.06731,1.888741,Incorrect,2025-03-18 19:37:49
50,41.17857,43.31721,2.138634,Incorrect,2025-03-18 19:37:49
52,43.72039,43.72039,2.541821,Correct,2025-03-18 19:37:50
48,43.72039,44.47046,0.7500648,Incorrect,2025-03-18 19:37:51
53,44.87325,44.87325,1.152859,Correct,2025-03-18 19:37:51
49,44.87325,46.6778,1.804543,Incorrect,2025-03-18 19:37:53
51,44.87325,47.38662,2.513363,Incorrect,2025-03-18 19:37:54
36,13.54464,13.54464,8.624897,Correct,2025-03-18 19:39:01
37,14.44761,14.44761,0.9029665,Correct,2025-03-18 19:39:02
38,15.65603,15.65603,1.208416,Correct,2025-03-18 19:39:03
39,16.47516,16.47516,0.8191319,Correct,2025-03-18 19:39:04
40,17.10011,17.10011,0.6249504,Correct,2025-03-18 19:39:04
41,17.94727,17.94727,0.8471565,Correct,2025-03-18 19:39:05
42,18.62775,18.62775,0.6804829,Correct,2025-03-18 19:39:06
41,18.62775,19.28074,0.6529922,Incorrect,2025-03-18 19:39:06
43,19.725,19.725,1.097254,Correct,2025-03-18 19:39:07
42,19.725,21.40564,1.680634,Incorrect,2025-03-18 19:39:09
44,22.25283,22.25283,2.527832,Correct,2025-03-18 19:39:09
41,22.25283,24.11364,1.860807,Incorrect,2025-03-18 19:39:11
